"work_id","work_title","work_alttitle","work_opus","work_identifier","work_mvtitle","work_mvnumber","work_yearbegun","work_yearcompleted","work_yearpublished","work_yearpremiered","work_relatedto","work_measures","work_genre","work_form","work_note","work_wiki","work_imslp","work_viaf","comp_id","era_id"
70,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 3 in F major. Allegretto","3","1858","1868","1869","1874","","","Piano","","Part of Book 1","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
71,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 4 in F minor. 	Poco sostenuto – Vivace","4","1858","1868","1869","1874","","","Piano","","Part of Book 1","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
72,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 5 in F♯ minor. Allegro – Vivace","5","1858","1868","1869","1874","","","Piano","","Part of Book 1","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
73,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 6 in D♭ major. Vivace
","6","1858","1868","1869","1874","","","Piano","","Part of Book 2","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
74,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 7 in F major. Allegretto – Vivo","7","1858","1868","1869","1874","","","Piano","","Part of Book 2","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
75,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 8 in A minor. Presto
","8","1858","1868","1869","1874","","","Piano","","Part of Book 2","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
76,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 9 in E minor. Allegro ma non troppo
","9","1858","1868","1869","1874","","","Piano","","Part of Book 2","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
77,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 10 in E major. Presto
","10","1858","1868","1869","1874","","","Piano","","Part of Book 2","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
78,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 11 in D minor. Poco andante
","11","1879","1879","1880","","","","Piano","","Part of Book 3","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
79,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 12 in D minor. Presto
","12","1879","1879","1880","","","","Piano","","Part of Book 3","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
80,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 13 in D major. Andantino grazioso – Vivace
","13","1879","1879","1880","","","","Piano","","Part of Book 3","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
81,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 14 in D minor. Un poco andante
","14","1879","1879","1880","","","","Piano","","Part of Book 3","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
82,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 15 in B♭ major. Allegretto grazioso
","15","1879","1879","1880","","","","Piano","","Part of Book 3","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
83,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 16 in F minor. Con moto – F major. Presto
","16","1879","1879","1880","","","","Piano","","Part of Book 3","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
84,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 17 in F♯ minor. Andantino – Vivace
","17","1879","1879","1880","","","","Piano","","Part of Book 4","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
85,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 18 in D major. Molto vivace
","18","1879","1879","1880","","","","Piano","","Part of Book 4","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
86,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 19 in B minor. Allegretto
","19","1879","1879","1880","","","","Piano","","Part of Book 4","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
87,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 20 	in E minor. Poco allegretto – Vivace
","20","1879","1879","1880","","","","Piano","","Part of Book 4","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
88,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 21 in E minor. Vivace – E major. Più presto
","21","1879","1879","1880","","","","Piano","","Part of Book 4","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
89,"Brandenburg Concerto No. 2 in F Major","2. Brandenburgisches Konzert","BWV 1047","","I. Allegro","1","1718","1721","1851","","","119","Chamber Music","","","http://en.wikipedia.org/wiki/Brandenburg_Concertos#No._2_in_F_major.2C_BWV_1047","https://imslp.org/wiki/Brandenburg_Concerto_No.2_in_F_major%2C_BWV_1047_(Bach%2C_Johann_Sebastian)","178025615","38","7"
90,"Brandenburg Concerto No. 2 in F Major","2. Brandenburgisches Konzert","BWV 1048","","II. Andante","2","1718","1721","1851","","","65","Chamber Music","","","http://en.wikipedia.org/wiki/Brandenburg_Concertos#No._2_in_F_major.2C_BWV_1047","https://imslp.org/wiki/Brandenburg_Concerto_No.2_in_F_major%2C_BWV_1047_(Bach%2C_Johann_Sebastian)","178025615","38","7"
91,"Brandenburg Concerto No. 2 in F Major","2. Brandenburgisches Konzert","BWV 1049","","III. Allegro assai","3","1718","1721","1851","","","139","Chamber Music","","","http://en.wikipedia.org/wiki/Brandenburg_Concertos#No._2_in_F_major.2C_BWV_1047","https://imslp.org/wiki/Brandenburg_Concerto_No.2_in_F_major%2C_BWV_1047_(Bach%2C_Johann_Sebastian)","178025615","38","7"
